timestamp,open,high,low,close,adjusted close,volume,dividend amount
2025-02-14,250.8600,261.9400,246.8700,261.2800,261.2800,19898073,1.6700
2025-02-07,252.4000,265.7200,251.8400,252.3400,250.6607,30149848,0.0000
2025-01-31,222.1900,261.8000,219.8400,255.7000,253.9983,39048997,0.0000
2025-01-24,224.9900,227.4500,220.3500,224.8000,223.3040,15594637,0.0000
2025-01-17,217.8900,225.9550,214.6100,224.7900,223.2940,18990367,0.0000
2025-01-10,223.0000,226.7110,216.8000,219.7500,218.2876,12337094,0.0000
2025-01-03,220.5400,223.6600,217.6000,222.6500,221.1683,10819153,0.0000
2024-12-27,222.8100,225.4000,221.0800,222.7800,221.2974,9272351,0.0000
2024-12-20,230.7300,231.0300,220.0300,223.3600,221.8735,28267440,0.0000
2024-12-13,238.0000,239.3500,227.8000,230.8200,229.2839,20886084,0.0000
2024-12-06,227.5000,238.3800,225.5100,238.0400,236.4558,18743737,0.0000
2024-11-29,223.3500,230.3600,222.6500,227.4100,225.8966,17274177,0.0000
2024-11-22,207.0000,227.2000,205.3701,222.9700,221.4861,21386866,0.0000
2024-11-15,214.4000,215.4100,204.0700,204.9900,203.6258,19438346,1.6700
2024-11-08,207.6500,216.7000,205.5700,213.7200,210.6295,15846890,0.0000
2024-11-01,215.5000,216.2500,203.5100,208.2500,205.2386,26467891,0.0000
2024-10-25,231.2100,233.3400,214.3850,214.6700,211.5658,31380820,0.0000
2024-10-18,233.5700,237.3700,230.1700,232.2000,228.8423,18477394,0.0000
2024-10-11,225.3800,235.8300,225.0200,233.2600,229.8870,18398213,0.0000
2024-10-04,220.6500,226.0800,215.7980,226.0000,222.7319,17778630,0.0000
2024-09-27,218.0000,224.1500,217.2700,220.8400,217.6466,16300165,0.0000
2024-09-20,215.8800,218.8400,210.3700,217.7000,214.5520,28532770,0.0000
2024-09-13,201.9400,216.0900,201.4300,214.7900,211.6841,21518747,0.0000
2024-09-06,201.9100,205.9500,199.3350,200.7400,197.8372,13519865,0.0000
2024-08-30,196.0000,202.1700,195.9000,202.1300,199.2071,15570283,0.0000
2024-08-23,193.8400,197.9200,193.7150,196.1000,193.2643,11022549,0.0000
2024-08-16,191.2500,194.3500,189.0001,193.7800,190.9779,11330854,0.0000
2024-08-09,184.5500,192.8800,181.8100,191.4500,188.6816,18895865,1.6700
2024-08-02,193.1800,194.5499,185.7000,189.1200,184.7735,20594367,0.0000
2024-07-26,183.4000,196.2600,182.8600,191.7500,187.3430,25458498,0.0000
2024-07-19,183.3800,189.4700,181.9500,183.2500,179.0384,17829469,0.0000
2024-07-12,176.4100,184.1600,174.4500,182.8300,178.6280,16071235,0.0000
2024-07-05,173.4500,177.9800,173.3800,176.0200,171.9746,9939255,0.0000
2024-06-28,175.0000,178.4599,170.4100,172.9500,168.9751,18850478,0.0000
2024-06-21,168.7600,174.9600,167.5000,172.4600,168.4964,21531360,0.0000
2024-06-14,169.5500,172.4700,166.8100,169.2100,165.3211,16222067,0.0000
2024-06-07,166.5400,171.3050,163.5300,170.0100,166.1027,14102396,0.0000
2024-05-31,170.4400,171.0850,163.8400,166.8500,163.0153,15594186,0.0000
2024-05-24,169.0000,175.4600,168.3800,170.8900,166.9625,18410125,0.0000
2024-05-17,167.5000,169.6300,166.4800,169.0300,165.1452,15933303,0.0000
2024-05-10,166.5000,170.2600,165.8800,167.1500,163.3084,17421523,1.6700
2024-05-03,167.4000,168.2200,162.6200,165.7100,160.2916,22536194,0.0000
2024-04-26,182.4500,184.6800,165.6600,167.1300,161.6651,42329269,0.0000
2024-04-19,185.5700,187.4800,180.1700,181.5800,175.6426,16929550,0.0000
2024-04-12,189.2400,191.2500,181.6850,182.2700,176.3101,14955313,0.0000
2024-04-05,190.0000,193.2800,187.3400,189.1400,182.9554,12808073,0.0000
2024-03-28,190.2600,191.9299,188.5000,190.9600,184.7159,15383298,0.0000
2024-03-22,191.7000,193.9800,190.0100,190.8400,184.5999,23968505,0.0000
2024-03-15,195.0900,199.1800,190.7000,191.0700,184.8223,27466323,0.0000
2024-03-08,187.7600,198.7300,187.6000,195.9500,189.5428,29085296,0.0000
2024-03-01,185.6000,188.3800,182.6200,188.2000,182.0462,21955379,0.0000
2024-02-23,187.6400,188.7700,178.7500,185.7200,179.6473,17487852,0.0000
2024-02-16,185.9000,188.9500,182.2600,187.6400,181.5045,21745006,0.0000
2024-02-09,185.5100,187.1800,181.4900,186.3400,180.2470,22784812,1.6600
2024-02-02,187.4600,189.4600,182.7100,185.7900,178.1112,28283876,0.0000
2024-01-26,172.8200,196.9000,172.4000,187.4200,179.6739,56232762,0.0000
2024-01-19,165.8000,171.5791,165.0400,171.4800,164.3927,19864308,0.0000
2024-01-12,158.6900,165.9800,157.8850,165.8000,158.9474,17643392,0.0000
2024-01-05,162.8300,163.2900,158.6700,159.1600,152.5819,14822074,0.0000
2023-12-29,162.2300,164.1800,162.0500,163.5500,156.7904,9376537,0.0000
2023-12-22,162.2300,163.3300,159.5300,162.1400,155.4387,17686398,0.0000
2023-12-15,162.6800,166.3400,160.1490,162.2300,155.5250,33504550,0.0000
2023-12-08,160.2900,162.7900,159.9700,161.9600,155.2661,21918957,0.0000
2023-12-01,154.9900,160.5900,154.7500,160.5500,153.9144,21900644,0.0000
2023-11-24,152.5100,155.7050,152.3500,155.1800,148.7664,11362696,0.0000
2023-11-17,148.4600,153.5000,147.3500,152.8900,146.5710,19547595,0.0000
2023-11-10,147.8900,149.6800,145.2800,149.0200,142.8610,18357944,1.6600
2023-11-03,143.1900,148.4450,142.5800,147.9000,140.1999,22959464,0.0000
2023-10-27,136.6300,144.7000,135.8700,142.5200,135.1000,30227448,0.0000
2023-10-20,139.2800,140.6200,136.3100,137.1600,130.0191,21044049,0.0000
2023-10-13,142.3000,143.4150,138.2700,138.4600,131.2514,16386334,0.0000
2023-10-06,140.0400,142.9400,139.8600,142.0300,134.6355,15932918,0.0000
2023-09-29,146.5700,147.4300,139.6100,140.3000,132.9956,23445425,0.0000
2023-09-22,145.7700,151.9299,144.6600,146.9100,139.2615,23597168,0.0000
2023-09-15,148.5700,148.7800,145.5300,145.9900,138.3894,19316647,0.0000
2023-09-08,147.9100,149.0000,147.1200,147.6800,139.9914,13719451,0.0000
2023-09-01,145.4100,148.1000,145.2100,147.9400,140.2379,15198607,0.0000
2023-08-25,141.4200,145.4700,141.1100,145.3500,137.7827,15614989,0.0000
2023-08-18,143.0500,143.3650,139.7600,141.4100,134.0478,18826007,0.0000
2023-08-11,145.0000,146.5000,142.2050,143.1200,135.6688,19428470,1.6600
2023-08-04,143.8100,146.0900,142.1700,144.2400,135.1559,24072830,0.0000
2023-07-28,139.3500,143.9500,138.7788,143.4500,134.4157,24310886,0.0000
2023-07-21,133.2600,140.3200,133.1000,138.9400,130.1897,29295540,0.0000
2023-07-14,131.7600,135.3300,131.6950,133.4000,124.9986,15109770,0.0000
2023-07-07,133.4200,134.3500,131.5500,132.0800,123.7618,10923840,0.0000
2023-06-30,129.3900,135.0300,129.3100,133.8100,125.3828,18695850,0.0000
2023-06-23,136.3600,137.2300,129.1800,129.4300,121.2786,27111509,0.0000
2023-06-16,136.0000,139.4690,135.8216,137.4800,128.8217,24228597,0.0000
2023-06-09,133.1200,136.1000,131.8800,135.3000,126.7790,21174178,0.0000
2023-06-02,129.5600,133.1200,127.4600,132.4200,124.0803,24339245,0.0000
2023-05-26,127.5000,129.6600,125.0100,128.8900,120.7727,21029979,0.0000
2023-05-19,123.0000,128.2900,122.3400,127.2600,119.2453,18284524,0.0000
2023-05-12,123.7600,123.9200,120.5500,122.8400,115.1037,20404364,1.6600
